id,timestamp,coin,direction,sell_exchange,buy_exchange,premium_pct,sell_bid_usdt,buy_ask_usdt,krw_usd,usdt_usd,est_qty,est_profit_usdt
448,2026-03-29T22:45:56.444Z,ETH,fwd,bithumb,bybit,2.634827323593214,2006.613509003571,1955.1,1508.01337,1,0.5114827886041635,26.348273235932187
447,2026-03-29T22:45:56.443Z,ETH,fwd,bithumb,binance,2.6343023668014,2006.613509003571,1955.11,1508.01337,1,0.5114801724711142,26.34302366801409
446,2026-03-29T22:45:56.443Z,BTC,fwd,bithumb,bybit,2.7104744402661973,67033.8884329653,65264.9,1508.01337,1,0.015322171642031169,27.104744402661957
445,2026-03-29T22:45:56.443Z,BTC,fwd,bithumb,binance,2.7075158801541876,67033.8884329653,65266.78,1508.01337,1,0.015321730289130244,27.075158801541843
444,2026-03-29T22:45:55.444Z,XRP,fwd,bithumb,bybit,2.4929976654058494,1.3348688015942458,1.3024,1508.01337,1,767.8132678132678,24.929976654058514
443,2026-03-29T22:45:55.444Z,XRP,fwd,bithumb,binance,2.500867818033159,1.3348688015942458,1.3023,1508.01337,1,143.8,4.683393669252546
442,2026-03-29T22:45:55.444Z,ETH,fwd,bithumb,bybit,2.634827323593214,2006.613509003571,1955.1,1508.01337,1,0.5114827886041635,26.348273235932187
441,2026-03-29T22:45:55.443Z,ETH,fwd,bithumb,binance,2.622229842562973,2006.613509003571,1955.34,1508.01337,1,0.5114200087964241,26.222298425629816
440,2026-03-29T22:45:55.443Z,BTC,fwd,bithumb,bybit,2.700403443726862,67033.8884329653,65271.3,1508.01337,1,0.015320669268116307,27.00403443726861
439,2026-03-29T22:45:55.443Z,BTC,fwd,bithumb,binance,2.697476930740428,67033.8884329653,65273.16,1508.01337,1,0.015320232695950372,26.9747693074043
438,2026-03-29T22:45:54.444Z,XRP,fwd,bithumb,bybit,2.508739179407593,1.3348688015942458,1.3022,1508.01337,1,767.9311933650745,25.087391794076016
437,2026-03-29T22:45:54.444Z,XRP,fwd,bithumb,binance,2.508739179407593,1.3348688015942458,1.3022,1508.01337,1,767.9311933650745,25.087391794076016
436,2026-03-29T22:45:54.444Z,ETH,fwd,bithumb,bybit,2.66475874013552,2006.613509003571,1954.53,1508.01337,1,0.048,2.500008432171406
435,2026-03-29T22:45:54.443Z,ETH,fwd,bithumb,binance,2.652679050296247,2006.613509003571,1954.76,1508.01337,1,0.0499,2.5874900992781895
434,2026-03-29T22:45:54.443Z,BTC,fwd,bithumb,bybit,2.7106318152592124,67033.8884329653,65264.8,1508.01337,1,0.009163,16.210157311260957
433,2026-03-29T22:45:54.443Z,BTC,fwd,bithumb,binance,2.698483884129632,67033.8884329653,65272.52,1508.01337,1,0.015320382911522339,26.984838841296416
432,2026-03-29T22:45:53.444Z,XRP,fwd,bithumb,bybit,2.532360518799126,1.3348688015942458,1.3019,1508.01337,1,768.1081496274675,25.323605187991205
431,2026-03-29T22:45:53.444Z,XRP,fwd,bithumb,binance,2.532360518799126,1.3348688015942458,1.3019,1508.01337,1,768.1081496274675,25.323605187991205
430,2026-03-29T22:45:53.444Z,ETH,fwd,bithumb,bybit,2.6878756353889033,2006.613509003571,1954.09,1508.01337,1,0.5117471559651807,26.878756353889028
429,2026-03-29T22:45:53.443Z,ETH,fwd,bithumb,binance,2.6752651294085883,2006.613509003571,1954.33,1508.01337,1,0.5116843112473328,26.75265129408595
428,2026-03-29T22:45:53.443Z,BTC,fwd,bithumb,bybit,2.710789190734486,67033.8884329653,65264.7,1508.01337,1,0.015322218595963822,27.107891907344964
427,2026-03-29T22:45:53.443Z,BTC,fwd,bithumb,binance,2.706036664012923,67033.8884329653,65267.72,1508.01337,1,0.015321509622214473,27.06036664012919
426,2026-03-29T22:45:52.445Z,XRP,fwd,bithumb,bybit,2.540236717947897,1.3348688015942458,1.3018,1508.01337,1,255.04,8.433867158596435
425,2026-03-29T22:45:52.444Z,XRP,fwd,bithumb,binance,2.540236717947897,1.3348688015942458,1.3018,1508.01337,1,768.1671531725303,25.402367179478986
424,2026-03-29T22:45:52.444Z,ETH,fwd,bithumb,bybit,2.7083743155843276,2006.613509003571,1953.7,1508.01337,1,0.511849311562676,27.083743155843212
423,2026-03-29T22:45:52.444Z,ETH,fwd,bithumb,binance,2.702591807983934,2006.613509003571,1953.81,1508.01337,1,0.5118204943162334,27.025918079839382
422,2026-03-29T22:45:52.444Z,BTC,fwd,bithumb,bybit,2.7211770385060063,67033.8884329653,65258.1,1508.01337,1,0.015323768237199673,27.21177038506017
421,2026-03-29T22:45:52.443Z,BTC,fwd,bithumb,binance,2.723286343001541,67033.8884329653,65256.76,1508.01337,1,0.015324082899610706,27.2328634300154
420,2026-03-29T22:45:51.444Z,XRP,fwd,bithumb,bybit,2.5638725773527327,1.3348688015942458,1.3015,1508.01337,1,255.1,8.512381286692081
419,2026-03-29T22:45:51.444Z,XRP,fwd,bithumb,binance,2.5638725773527327,1.3348688015942458,1.3015,1508.01337,1,768.3442182097579,25.63872577352724
418,2026-03-29T22:45:51.443Z,ETH,fwd,bithumb,bybit,2.738874672502001,2006.613509003571,1953.12,1508.01337,1,0.04,2.1397403601428415
417,2026-03-29T22:45:51.443Z,ETH,fwd,bithumb,binance,2.716260602675691,2006.613509003571,1953.55,1508.01337,1,0.511888613037803,27.162606026756915
416,2026-03-29T22:45:51.443Z,BTC,fwd,bithumb,bybit,2.7122055917143895,67033.8884329653,65263.8,1508.01337,1,0.015322429892222027,27.12205591714382
415,2026-03-29T22:45:51.443Z,BTC,fwd,bithumb,binance,2.704887940444878,67033.8884329653,65268.45,1508.01337,1,0.01532133825761145,27.048879404448808
414,2026-03-29T22:45:50.443Z,XRP,fwd,bithumb,bybit,2.5717536187372048,1.3348688015942458,1.3014,1508.01337,1,768.4032580298141,25.717536187372
413,2026-03-29T22:45:50.443Z,XRP,fwd,bithumb,binance,2.5717536187372048,1.3348688015942458,1.3014,1508.01337,1,768.4032580298141,25.717536187372
412,2026-03-29T22:45:50.443Z,ETH,fwd,bithumb,bybit,2.7420309157717204,2006.613509003571,1953.06,1508.01337,1,0.01059,0.5671316603478167
